date,manila quarantine,quarantine meaning,home quarantine,general quarantine,quarantine tagalog,new_cases
2020-12-05,0,0,11,0,0,6.646612233204412
2020-12-06,0,13,15,0,0,6.85431886549205
2020-12-07,9,13,22,0,16,5.622403667096404
2020-12-08,0,12,15,0,0,4.361839278040395
2020-12-09,0,10,18,0,10,4.340352385045122
2020-12-10,0,17,14,0,11,4.189944134078212
2020-12-11,12,11,14,0,0,5.1425297235353105
2020-12-12,0,0,0,0,11,3.681420999856754
2020-12-13,12,18,12,0,0,1.8908465835840138
2020-12-14,13,13,0,11,11,3.8461538461538463
2020-12-15,0,10,0,0,0,2.556940266437473
2020-12-16,10,0,0,0,0,2.60707635009311
2020-12-17,12,0,15,0,0,4.820226328606217
2020-12-18,0,0,0,0,0,9.39693453659934
2020-12-19,12,0,0,0,0,4.9204984959174904
2020-12-20,0,0,0,0,0,6.70391061452514
2020-12-21,0,0,0,0,0,6.4174187079215015
2020-12-22,0,0,0,0,0,3.702907892852027
2020-12-23,0,0,0,0,0,3.008165019338204
2020-12-24,0,0,0,0,0,7.054863200114597
2020-12-25,17,0,0,0,0,7.763930668958602
2020-12-26,0,0,0,0,0,4.376163873370578
2020-12-27,12,0,0,0,0,0.737716659504369
2020-12-28,25,24,0,94,12,0.0
2020-12-29,26,32,0,92,15,0.7878527431600058
2020-12-30,22,0,0,16,0,1.668815355966194
2020-12-31,0,0,0,0,0,5.300100272167311
2021-01-01,0,0,0,0,0,6.847156567826959
2021-01-02,16,0,0,0,0,2.2990975504941984
2021-01-03,12,0,12,0,0,0.8093396361552786
2021-01-04,11,0,11,0,0,1.3321873657069188
2021-01-05,0,18,11,0,12,1.1388053287494628
2021-01-06,0,16,0,0,0,1.840710499928377
2021-01-07,0,20,0,0,17,4.061022776106575
2021-01-08,13,22,12,0,0,6.976077925798596
2021-01-09,14,17,11,0,0,8.157857040538605
2021-01-10,0,14,0,0,0,7.9143389199255125
2021-01-11,0,17,14,0,0,8.967196676693883
2021-01-12,13,10,12,0,12,5.257126486176766
2021-01-13,11,15,19,0,12,4.734278756625125
2021-01-14,0,20,0,0,12,7.950150408250967
2021-01-15,10,0,0,0,0,8.931385188368429
2021-01-16,0,20,0,0,0,9.003008165019338
2021-01-17,13,11,0,0,0,7.792579859618966
2021-01-18,16,17,16,0,10,9.769374015184072
2021-01-19,18,14,14,0,0,4.032373585446211
2021-01-20,10,0,15,0,16,6.309984242945137
2021-01-21,10,11,16,0,13,6.904454949147687
2021-01-22,12,17,14,0,0,9.69058874086807
2021-01-23,0,0,0,0,0,7.140810772095688
2021-01-24,0,0,0,0,0,8.143532445208423
2021-01-25,10,12,0,0,9,5.629565964761495
2021-01-26,14,9,14,11,11,2.8935682566967484
2021-01-27,13,10,12,0,0,10.227761065749892
2021-01-28,9,12,9,0,10,2.793296089385475
2021-01-29,12,13,10,38,12,7.441627274029509
2021-01-30,15,0,0,22,0,9.31814926228334
2021-01-31,12,12,17,14,13,9.210714797306975
2021-02-01,15,12,10,11,0,6.102277610657499
2021-02-02,14,9,13,13,11,5.715513536742587
2021-02-03,0,13,0,0,15,3.4379028792436612
2021-02-04,17,17,0,0,15,5.701188941412405
2021-02-05,10,12,11,0,0,7.677983096977511
2021-02-06,0,13,12,0,0,8.20799312419424
2021-02-07,0,15,0,0,13,7.1622976650909616
2021-02-08,0,19,10,0,10,6.352958028935682
2021-02-09,12,0,11,0,14,3.2445208422862053
2021-02-10,9,11,12,0,0,3.9893997994556654
2021-02-11,0,0,0,0,0,6.768371293510958
2021-02-12,17,11,0,0,0,8.745165449076064
2021-02-13,0,0,11,0,13,8.26529150551497
2021-02-14,13,0,0,0,0,8.021773384901877
2021-02-15,0,0,12,0,0,6.381607219596046
2021-02-16,14,12,13,0,9,4.340352385045122
2021-02-17,13,0,9,0,9,2.879243661366566
2021-02-18,12,10,0,0,0,6.646612233204412
2021-02-19,0,13,0,18,0,7.778255264288783
2021-02-20,0,0,0,0,11,10.220598768084802
2021-02-21,13,0,0,0,0,7.735281478298238
2021-02-22,18,0,0,0,0,10.406818507377167
2021-02-23,10,10,0,0,0,4.426299957026214
2021-02-24,0,0,0,0,13,5.3717232488182205
2021-02-25,0,0,13,0,10,10.299384042400803
2021-02-26,11,10,0,0,0,13.021057155135367
2021-02-27,13,0,0,15,0,14.940552929379745
2021-02-28,11,16,0,0,0,9.182065606646612
2021-03-01,10,0,0,0,0,8.702191663085518
2021-03-02,16,9,9,0,0,8.9528720813637
2021-03-03,18,0,11,0,9,6.961753330468414
2021-03-04,12,9,0,0,0,11.2519696318579
2021-03-05,12,0,10,0,0,15.549348230912477
2021-03-06,0,0,12,0,0,18.213722962326315
2021-03-07,0,0,12,0,0,17.103566824237216
2021-03-08,14,0,0,0,0,17.81263429308122
2021-03-09,15,0,11,0,0,13.013894857470277
2021-03-10,12,9,0,0,0,14.360406818507377
2021-03-11,12,12,12,0,0,20.41971064317433
2021-03-12,11,0,0,0,0,26.01346511961037
2021-03-13,15,0,0,0,0,28.957169459962756
2021-03-14,21,0,0,0,0,28.112018335482023
2021-03-15,22,13,12,0,0,31.650193382036957
2021-03-16,14,11,0,0,0,25.060879530153272
2021-03-17,22,15,16,0,0,24.573843288927087
2021-03-18,0,14,15,0,0,30.647471708924222
2021-03-19,14,10,10,0,0,43.00959747887122
2021-03-20,15,0,14,0,0,49.090388196533446
2021-03-21,26,31,14,80,17,47.45022203122762
2021-03-22,16,13,12,17,0,49.534450651769085
2021-03-23,12,0,17,0,0,34.83741584300243
2021-03-24,0,0,0,11,0,39.886835696891566
2021-03-25,12,13,13,0,11,54.490760636012034
2021-03-26,14,13,13,0,0,61.31643031084372
2021-03-27,31,42,15,0,24,59.92694456381607
2021-03-28,16,20,11,12,11,59.074631141670245
2021-03-29,20,29,18,20,12,62.74172754619682
2021-03-30,0,16,9,27,0,58.36556367282624
2021-03-31,14,22,17,16,17,36.749749319581724
2021-04-01,0,12,13,0,0,55.32874946282767
2021-04-02,22,0,0,0,12,100.0
2021-04-03,15,0,0,0,0,81.1416702478155
2021-04-04,21,19,12,0,0,70.5987680848016
2021-04-05,18,20,21,16,0,52.141527001862194
2021-04-06,13,33,0,10,13,58.76665234207134
2021-04-07,0,13,14,0,0,38.38991548488755
2021-04-08,17,10,11,0,0,57.56338633433605
2021-04-09,0,13,14,0,11,78.29823807477439
2021-04-10,23,0,0,0,0,81.90803609798023
2021-04-11,42,100,18,48,73,74.93195817218164
2021-04-12,15,18,9,0,13,72.61853602635726
2021-04-13,0,22,0,10,0,53.85331614381894
2021-04-14,10,15,13,0,12,50.694742873513825
2021-04-15,13,12,9,0,12,73.26314281621544
2021-04-16,10,16,16,0,11,68.31399512963759
2021-04-17,18,14,0,11,0,71.36513393496634
2021-04-18,0,14,15,0,0,64.20283626987538
